SMILES,LOGS
CN1CC(=O)NC1=O,0.37
CN1C2=C(NC=N2)C(=O)NC1=O,-1.12
CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,-2.76
CC1=NC=C(CO)C(C=O)=C1O,-1.16
C[C@H](O)[C@H](N)C(O)=O,0.6
CNC[C@H](O)C1=CC(O)=C(O)C=C1,-0.99
CC1=C(C=C)\C(NC1=O)=C\C1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(N2)\C=C2/NC(=O)C(C=C)=C2C)N1,-4.78
CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,-5.6
CCCC(=O)CCC,-1.4
NC1=C2NC=NC2=NC=N1,-1.07
C1=CN=CN=C1,0.77
CCC(O)C(O)C(O)=O,0.42
CCCCCC(O)=O,-1.08
CCCCCCCCCC(O)=O,-3.26
CNCC(O)=O,0.54
CCCCCCCCCCCCCC(O)=O,-5.12
OC=O,1.02
CCCCCCCCCCCCCCCCCCCCO,-7.04
[H][C@@]12OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H]2O,0.99
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,0.23
CC(C)(N)C(O)=O,0.51
NC(C(O)=O)C1=CC=CC=C1,-1.3
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,-7.43
OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,0.23
NC(=O)N[C@@H](CC(O)=O)C(O)=O,-0.92
[H][C@@]1(CC[C@@]2([H])C3=CC[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,-7.04
OC(CC1=CC=C(O)C=C1)C(O)=O,-1.58
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,-2.45
OC(=O)C\C=C\C(O)=O,-0.87
CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,0.06
[H]C([H])([H])C1=NC(=C(N=C1C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],-0.96
CN1C=NC(N)=C2N=CN=C12,-1.92
C[C@H](NC(C)=O)C(O)=O,-0.48
